100,0.8017,61.94,0.3097,0.813,0.6252,63.47,0.31735,0.653925,0.5517,65.34,0.3267,0.6125,,,20,0.010406,,,,,
200,0.7219,60.445,0.302225,0.7587,0.6019,64.02,0.3201,0.6409,0.5494,69.12,0.3456,0.6019,,,40,0.014178,,,,,
300,0.6819,64.14,0.3207,0.7145,0.5668,70.28,0.3514,0.6077,0.5112,74.13,0.37065,0.570275,,,60,0.014666,,,,,
400,0.5315,72.13,0.36065,0.6578,0.4423,78.12,0.3906,0.52585,0.4179,82.13,0.41065,0.4819,,,80,0.014705,,,,,
500,0.487,73.45,0.36725,0.5898,0.4046,80.67,0.40335,0.500625,0.3787,85.89,0.42945,0.4517,,,100,0.016122,,,,,0.369569
,,,,,,,,,,,,,,,150,0.017612,,,,,
,,,,,,,,,,,,,,,200,0.018984,0.024673,0.01344,0.15103,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,300,,,,0.239778,,
,,,,,,,,,,,,,,,350,,,,,,0.42217
,,,,,,,,,,,,,,,400,,,,0.13805,,0.469105
,,,,,,,,,,,,,,,450,,,,,,0.412511
,,,,,,,,,,,,,,,500,,0.109671,0.28201,0.447381,0.70868,1.01097
,,,,,,,,,,,,,,,1000,,,,,,3.68349
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5,10,15,20,25,30
